Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
2166	260100	mir-71	mir-71	Caenorhabditis elegans					decrease	Mir-71 loss of function mutant worms demonstrated a 48% decrease in lifespan. In contrast worms overexpressing mir-71 showed an 8% increase in mean lifespan. In addition mir-71 was found to be highly upregulated during ageing. 	pro		48	Mutation	
2175	3565575	mir-80	microRNA-80	Caenorhabditis elegans					increase	Deletion of mir-80 in worms resulted in increased lifespan and healthspan compared to wild type worms. Average age at 75% mortality was increased by 24%. Pharyngeal pumping rates were maintained significantly later into life. Locomotory ageing was also delayed without altering behaviour. These effects were exerted via a dietary restriction mechanism. 	anti			Deletion	
2095	177238	miro-1	Mitochondrial Rho GTPase 1	Caenorhabditis elegans					increase	Downregulation of miro-1 simultaneously in multiple tissues resulted in an increase in lifespan. In addition the amount of mitochondria in miro-1 mutants was approximately 50% of the wild type. 	anti		50	RNA interference	
437	185682	mkk-4	MKK (MAP Kinase Kinase) homolog	Caenorhabditis elegans	Cel.1019	F42G10.2			decrease	Mutation reduced maximum lifespan 23%.	anti	23		Mutation	
2161	176050	mml-1	Myc and Mondo-Like	Caenorhabditis elegans					decrease	Downregulation of mml-1 in worms decreased median lifespan by 10%. In glp-1 mutants downregulation of mml-1 abolished lifespan extension and median lifespan was 65% lower. In addition mm-1 overexpression was found to modestly (but significantly) extend lifespan of wild type worms. 	pro		10	RNA interference	
438	174623	mnk-1	MAP kinase iNtegrating Kinase (MNK) homolog	Caenorhabditis elegans	Cel.7449	R166.5			decrease	RNA interference shortened wild-type (20%) and ife-2 mutant (15%) maximum lifespan.	pro	20		RNA interference	
440	171879	mod-5	Modulation Of locomotion Defective	Caenorhabditis elegans	Cel.16354	Y54E10BR.7			decrease	Knockouts show a modest life-shortening effect.	pro			Knockout	
961	175545	mpk-1	MAP Kinase	Caenorhabditis elegans		F43C1.2			decrease	11% mean decrease in lifespan	pro		11	RNA interference	
961	175545	mpk-1	MAP Kinase	Caenorhabditis elegans		F43C1.2			decrease	RNA interference of mpk-1 results in a decrease in lifespan.	pro		16	RNA interference	
962	174657	mpz-1	Multiple PDZ domain protein	Caenorhabditis elegans		C52A11.4			increase	Wild-type animals treated with mpz-1 RNAi exhibited a 31% increase in average lifespan compared to untreated wild-type animals.	anti		31	RNA interference	
665	177736	mpz-2	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.20142	C01F6.6			increase	RNA interference extends lifespan.	anti			RNA interference	
442	181587	mrp-5	Multidrug Resistance Protein family	Caenorhabditis elegans	Cel.7495	F14F4.3			increase	RNA interference extended lifespan.	anti			RNA interference	
382	186840	mrpl-10	Protein MRPL-10	Caenorhabditis elegans	Cel.14838	K01C8.6			increase	RNA interference in adulthood resulted in a 17% lifespan extension.	anti		17	RNA interference	
730	176495	mrpl-12	Protein MRPL-12	Caenorhabditis elegans	Cel.9918	W09D10.3			increase	RNA interference increased mean lifespan by 51%.	anti		51	RNA interference	
1805	176903	mrpl-2	Protein MRPL-2	Caenorhabditis elegans					increase	Knockdown of mrpl-2 increased lifespan by 54%.	anti		54	RNA interference	
273	172204	mrpl-24	Protein MRPL-24	Caenorhabditis elegans	Cel.18571	F59A3.3			increase	RNA interference in adulthood resulted in a 14% mean lifespan extension.	anti		14	RNA interference	
1806	175001	mrpl-37	Protein MRPL-37	Caenorhabditis elegans					increase	Knockdown of mrpl-37 increased lifespan by 41%.	anti		41	RNA interference	
33	172164	mrpl-47	Protein MRPL-47	Caenorhabditis elegans	Cel.19301	B0261.4			increase	RNA interference results in about 20% lifespan extension.	anti		20	RNA interference	
33	172164	mrpl-47	Protein MRPL-47	Caenorhabditis elegans	Cel.19301	B0261.4			increase	Life span extension.	anti			RNA interference	
647	174422	mrpl-50	Protein MRPL-50	Caenorhabditis elegans	Cel.14324	T21B10.1			increase	RNA interference in adulthood extended mean lifespan by 17%.	anti		17	RNA interference	
740	189618	mrps-10	Protein MRPS-10	Caenorhabditis elegans	Cel.8687	Y37D8A.18			increase	RNA interference increased mean lifespan by 39%.	anti		39	RNA interference	
661	172957	mrps-30	Temporarily Assigned Gene name	Caenorhabditis elegans	Cel.19286	B0511.8			increase	RNA interference in adulthood extended mean lifespan by 21%.	anti		21	RNA interference	
237	184770	mrps-33	Protein MRPS-33	Caenorhabditis elegans	Cel.13091	F21D5.8			increase	RNA interference increased mean lifespan by 36%.	anti		36	RNA interference	
1803	179721	mrps-5	Protein MRPS-5	Caenorhabditis elegans					increase	Knockdown of mrps-5 increased lifespan by 60%.	anti		60	RNA interference	
231	184267	mrps-9	Protein MRPS-9	Caenorhabditis elegans	Cel.10624	F09G8.3			increase	RNA interference increased mean lifespan by 60%.	anti		60	RNA interference	
259	174207	mtch-1	Protein MTCH-1	Caenorhabditis elegans	Cel.6405	F43E2.7			increase	RNA interference post-development extended mean lifespan by 21%.	anti		21	RNA interference	
448	179899	mtl-2	MeTaLlothionein	Caenorhabditis elegans	Cel.33662	T08G5.10			increase	RNA interference extends lifespan.	anti			RNA interference	
963	175490	mtm-3	MTM (myotubularin) famil	Caenorhabditis elegans		T24A11.1			decrease	Loss of ceMTM3 function causes muscle deterioration in C. elegans. 40% reduction in MLS was observed	pro	40		RNA interference	
746	175863	mvk-1	Y42G9A.4b	Caenorhabditis elegans	Cel.6499	Y42G9A.4			decrease	RNA interference decreased median lifespan by 14% in wild type animals and 33% in daf-2 mutants.	pro		14	RNA interference	
449	175184	mxl-2	MaX-Like	Caenorhabditis elegans	Cel.10506	F40G9.11			decrease	RNA interference decreased median lifespan by 7% in wild type animals, 39% in a daf-2 background and 27% in daf-2/daf-16 double mutants.	pro		7	RNA interference	
452	187898	nac-2	NADC (Na+-coupled dicarboxylate transporter) family	Caenorhabditis elegans	Cel.10163	R107.1			increase	RNA interference knockdown leads to an increase in average (19%) and maximal lifespan (50%).	anti	50	19	RNA interference	
453	176429	nac-3	NADC (Na+-coupled dicarboxylate transporter) family	Caenorhabditis elegans	Cel.8083	K08E5.2			increase	RNA interference knockdown leads to an increase in average (15%).	anti		15	RNA interference	
471	172442	nars-1	asparagiNyl tRNA Synthetase	Caenorhabditis elegans	Cel.23239	F22D6.3			increase	RNA interference in adulthood resulted in a 11% mean lifespan extension.	anti		11	RNA interference	
454	180407	nas-38	Nematode AStacin protease	Caenorhabditis elegans	Cel.19843	F57C12.1			increase	RNA interference extended lifespan.	anti			RNA interference	
964	184953	ncbp-2	Nuclear Cap-Binding Protein	Caenorhabditis elegans		F26A3.2			decrease	24% mean lifespan reduction	pro		24	RNA interference	
1875	175582	ndg-4	hypothetical protein	Caenorhabditis elegans	.7670				increase	Ndg-4 mutants are more resistant to stress, more termoresistant and live longer than wild type worms (by 71%).	anti		71	Mutation	
2114	172939	ndk-1	Nucleoside diphosphate kinase	Caenorhabditis elegans					increase	In a large scale screen downregulation of ndk-1 in worms increased mean lifespan by >5%. 	anti			RNA interference	
667	188912	nduf-2.2	NADH Ubiquinone oxidoreductase Fe-S protein	Caenorhabditis elegans	Cel.9985	T26A5.3			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
460	174225	nfi-1	NFI (Nuclear Factor I) family	Caenorhabditis elegans	Cel.4991	ZK1290.4			decrease	Deletion results in animals with defects in movement, pharyngeal pumping and egg-laying, and with a reduced lifespan.	pro			Deletion	
1824	187340	nhr-119	Protein NHR-119	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		10	RNA interference	
461	181102	nhr-14	Nuclear Hormone Receptor family	Caenorhabditis elegans	Cel.630	T01B10.4			increase	RNA interference extended lifespan.	anti			RNA interference	
462	182565	nhr-154	Nuclear Hormone Receptor family	Caenorhabditis elegans	Cel.25806	C13C4.2			increase	RNA interference extended lifespan.	anti			RNA interference	
1780	172460	nhr-23	Protein NHR-23	Caenorhabditis elegans					increase	Post-developmental RNAi of nhr-23 extends lifespan of wild type worms.	anti	8.7	4.9	Post-developmental RNA interference	
1828	181432	nhr-25	Protein NHR-25	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		8	RNA interference	
1829	185603	nhr-265	Protein NHR-265	Caenorhabditis elegans					increase	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	anti		4	RNA interference	
463	172839	nhr-49	Nuclear Hormone Receptor family	Caenorhabditis elegans	Cel.17842	K10C3.6			decrease	RNA interference shortened lifespan and altered fatty acid composition.	pro			RNA interference	
463	172839	nhr-49	Nuclear Hormone Receptor family	Caenorhabditis elegans	Cel.17842	K10C3.6			decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		56	RNA interference	
1822	191726	nhr-77	Protein NHR-77	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		7	RNA interference	
1952	177551	nhr-8	Nuclear hormone receptor family member nhr-8	Caenorhabditis elegans	.18186				decrease	NHR-8 mutants display a 28-35% shorter lifespan than their N2 wild-type counterparts. The extent of lifespan reduction 28-35%) is dependant on the cholesterol level in their diet, however lifespan was reduced at all tested concentrations.	pro		35	Mutation	
464	174242	nhx-2	Na/H eXchanger	Caenorhabditis elegans	Cel.9292	B0495.4			increase	Gene inactivation by RNA interference led to a loss of fat stores in the intestine and a 40% increase in lifespan.	anti		40	RNA interference	
1804	3565648	nkcc-1	Protein NKCC-1	Caenorhabditis elegans					increase	Knockdown of nkcc-1 increased lifespan by 23%.	anti		23	RNA interference	
965	184647	nlp-7	Neuropeptide-like protein genes family	Caenorhabditis elegans		F18E9.2			decrease	nlp-7 RNAi decreased mean LS by 10% compared to WT. RNAi of nlp-7 or cup-4 significantly reduces the life span of the eat-2 mutant, a genetic model of dietary restriction, but has no effect on the life span of long-lived mutants resulting from reduced insulin/ IGF-1 signaling or dysfunction of the mitochondrial electron transport chain. The life-span extension observed in wild-type N2 worms by dietary restriction using bacterial dilution is prevented significantly in nlp-7 and cup-4 mutants.	pro		10	RNA interference	
465	180884	nnt-1	Nicotinamide Nucleotide Transhydrogenase	Caenorhabditis elegans	Cel.30607	C15H9.1			decrease	nnt-1 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 18% in wild type animals, 20% in daf-2 mutants and 16% in daf-2/gld-1 mutants.	pro		18	RNA interference	
727	173437	nol-1	NucleOLar protein	Caenorhabditis elegans	Cel.34845	W07E6.1			increase	RNA interference in adulthood extended mean lifespan by 31%.	anti		31	RNA interference	
722	171901	nol-5	NucleOLar protein	Caenorhabditis elegans	Cel.17603	W01B11.3			increase	RNA interference in adulthood extended mean lifespan by 15%.	anti		15	RNA interference	
467	179095	npa-1	Nematode Polyprotein Allergen related	Caenorhabditis elegans	Cel.17242	VC5.3			increase	RNA interference in adulthood resulted in a 32% mean lifespan extension.	anti		32	RNA interference	
468	172611	npp-2	Nuclear Pore complex Protein	Caenorhabditis elegans	Cel.17609	T01G9.4			decrease	RNA interference decreased median lifespan by 11% in wild type animals, 38% in a daf-2 background and 22% in daf-2/daf-16 double mutants.	pro		11	RNA interference	
469	174823	npp-3	Nuclear Pore complex Protein	Caenorhabditis elegans	Cel.6163	K12D12.2			decrease	RNA interference decreased median lifespan by 14% in wild type animals, 36% in a daf-2 background and 11% in daf-2/daf-16 double mutants.	pro		14	RNA interference	
2220	180752	npr-1	NeuroPeptide Receptor family	Caenorhabditis elegans					increase	Worms with a loss of function mutation in npr-1 demonstrated a 15.6% increase in mean lifespan compared to control worms. Worms with an additional deletion mutation in gcy-35 demonstrated a 26.9% increase in mean lifespan compared to control worms. These extensions were dependent on gcy-33 activity.	anti		16	Mutation	
472	179503	nrx-1	GLIoTactin (Drosophila neuroligin-like) homolog	Caenorhabditis elegans	Cel.4641	C29A12.4			decrease	Mutation reduced maximum lifespan by 40%.	anti	40		Mutation	
780	191128	nstp-3	Protein NSTP-3	Caenorhabditis elegans	Cel.1391	ZC250.3			decrease	RNA interference decreased median lifespan by 29% in wild type animals, 41% in a daf-2 background and 25% in daf-2/daf-16 double mutants.	pro		29	RNA interference	
2079	175153	nsun-5	Nop2 (NOP2)/SUN domain family member	Caenorhabditis elegans	.8622				increase	RNA interference of nsun-5 in worms under special diet (calorically restricted in adulthood) extends mean lifespan of worms by 17%. Similarly, RNA interference of nsun-5 in the eat-2 worm strain results in a longer lifespan. 	anti		17	RNA interference	
